MMSI,TimeOfFix,Latitude,Longitude,SOG,Heading,PortIndex,EEZ
538004793, 2020 Sep 05 22:08:20 UTC, 39.916112, -75.126757, 0, 345, 8110, USA
538004793, 2020 Sep 05 22:08:18 UTC, 39.916112, -75.126757, 0, 345, 8110, USA
538004793, 2020 Sep 05 20:17:26 UTC, 39.916085, -75.126758, 0, 345, 8110, USA
538004793, 2020 Sep 05 20:08:18 UTC, 39.91615, -75.126812, 0, 345, 8110, USA
538004793, 2020 Sep 05 18:08:19 UTC, 39.91608, -75.126762, 0, 345, 8110, USA
538004793, 2020 Sep 05 18:02:18 UTC, 39.91611, -75.126812, 0, 345, 8110, USA
538004793, 2020 Sep 05 16:08:19 UTC, 39.916103, -75.126803, 0, 345, 8110, USA
538004793, 2020 Sep 05 16:02:19 UTC, 39.916073, -75.126753, 0, 345, 8110, USA
538004793, 2020 Sep 05 14:08:18 UTC, 39.916145, -75.126777, 0, 345, 8110, USA
538004793, 2020 Sep 05 14:05:27 UTC, 39.916215, -75.1267, 0, 345, 8110, USA
538004793, 2020 Sep 05 12:17:21 UTC, 39.916115, -75.126848, 0, 345, 8110, USA
538004793, 2020 Sep 05 12:05:19 UTC, 39.916077, -75.12672, 0, 345, 8110, USA
538004793, 2020 Sep 05 10:05:28 UTC, 39.916255, -75.12679, 0, 345, 8110, USA
538004793, 2020 Sep 05 10:05:19 UTC, 39.916255, -75.12679, 0, 345, 8110, USA
538004793, 2020 Sep 05 08:08:20 UTC, 39.915997, -75.126812, 0, 345, 8110, USA
538004793, 2020 Sep 05 08:05:18 UTC, 39.915835, -75.126788, 0, 345, 8110, USA
538004793, 2020 Sep 05 06:17:27 UTC, 39.91616, -75.126772, 0, 345, 8110, USA
538004793, 2020 Sep 05 06:05:18 UTC, 39.916197, -75.126803, 0, 345, 8110, USA
538004793, 2020 Sep 05 04:05:18 UTC, 39.916065, -75.126683, 0, 345, 8110, USA
538004793, 2020 Sep 05 04:02:18 UTC, 39.916085, -75.126747, 0, 345, 8110, USA
538004793, 2020 Sep 05 02:23:18 UTC, 39.916133, -75.126805, 0, 345, 8110, USA
538004793, 2020 Sep 05 02:05:19 UTC, 39.916167, -75.126837, 0, 345, 8110, USA
538004793, 2020 Sep 05 00:35:18 UTC, 39.9161, -75.126803, 0, 345, 8110, USA
538004793, 2020 Sep 05 00:05:18 UTC, 39.916098, -75.12679, 0, 345, 8110, USA
538004793, 2020 Sep 04 22:05:26 UTC, 39.91605, -75.126712, 0, 345, 8110, USA
538004793, 2020 Sep 04 22:05:18 UTC, 39.91605, -75.126712, 0, 345, 8110, USA
538004793, 2020 Sep 04 20:08:20 UTC, 39.916203, -75.126762, 0, 345, 8110, USA
538004793, 2020 Sep 04 20:05:18 UTC, 39.916025, -75.126833, 0, 345, 8110, USA
538004793, 2020 Sep 04 18:23:26 UTC, 39.916065, -75.126825, 0, 345, 8110, USA
538004793, 2020 Sep 04 18:05:19 UTC, 39.916115, -75.126783, 0, 345, 8110, USA
538004793, 2020 Sep 04 16:11:26 UTC, 39.916068, -75.126763, 0, 345, 8110, USA
538004793, 2020 Sep 04 16:05:19 UTC, 39.916115, -75.126793, 0, 345, 8110, USA
538004793, 2020 Sep 04 14:05:19 UTC, 39.916253, -75.126708, 0, 345, 8110, USA
538004793, 2020 Sep 04 14:02:19 UTC, 39.916003, -75.126792, 0, 345, 8110, USA
538004793, 2020 Sep 04 12:10:25 UTC, 39.916158, -75.126767, 0, 345, 8110, USA
538004793, 2020 Sep 04 12:02:18 UTC, 39.916027, -75.12685, 0, 345, 8110, USA
538004793, 2020 Sep 04 10:35:17 UTC, 39.916122, -75.126782, 0, 345, 8110, USA
538004793, 2020 Sep 04 10:14:18 UTC, 39.916132, -75.126782, 0, 345, 8110, USA
538004793, 2020 Sep 04 10:05:18 UTC, 39.915817, -75.126828, 0, 345, 8110, USA
538004793, 2020 Sep 04 08:26:18 UTC, 39.916153, -75.126808, 0, 345, 8110, USA
538004793, 2020 Sep 04 08:05:18 UTC, 39.915917, -75.126828, 0, 345, 8110, USA
538004793, 2020 Sep 04 06:05:19 UTC, 39.916038, -75.126775, 0, 345, 8110, USA
538004793, 2020 Sep 04 06:02:18 UTC, 39.916162, -75.126772, 0, 345, 8110, USA
538004793, 2020 Sep 04 04:05:28 UTC, 39.916057, -75.126785, 0, 345, 8110, USA
538004793, 2020 Sep 04 04:05:19 UTC, 39.916057, -75.126785, 0, 345, 8110, USA
538004793, 2020 Sep 04 02:23:26 UTC, 39.9162, -75.12681, 0, 345, 8110, USA
538004793, 2020 Sep 04 02:02:19 UTC, 39.916022, -75.12683, 0, 345, 8110, USA
538004793, 2020 Sep 04 00:02:19 UTC, 39.916128, -75.126758, 0.1, 345, 8110, USA
538004793, 2020 Sep 04 00:02:18 UTC, 39.916128, -75.126758, 0.1, 345, 8110, USA
538004793, 2020 Sep 03 22:11:27 UTC, 39.916128, -75.126785, 0, 345, 8110, USA
538004793, 2020 Sep 03 22:02:19 UTC, 39.91611, -75.126798, 0, 345, 8110, USA
538004793, 2020 Sep 03 20:38:20 UTC, 39.916137, -75.126792, 0, 345, 8110, USA
