MMSI,TimeOfFix,Latitude,Longitude,SOG,Heading,PortIndex,EEZ
636017412, 2020 Sep 05 23:00:15 UTC, 37.769835, -64.276987, 16.4, 89, 0, 
636017412, 2020 Sep 05 22:21:46 UTC, 37.771332, -64.49882, 16.5, 90, 0, 
636017412, 2020 Sep 05 21:14:39 UTC, 37.776072, -64.874748, 15.2, 92, 0, 
636017412, 2020 Sep 05 20:07:08 UTC, 37.777838, -65.221437, 14.6, 92, 0, 
636017412, 2020 Sep 05 18:51:10 UTC, 37.782335, -65.620347, 15.9, 94, 0, 
636017412, 2020 Sep 05 17:08:09 UTC, 37.791052, -66.201877, 16.8, 95, 0, 
636017412, 2020 Sep 05 14:09:45 UTC, 37.797295, -67.324072, 18.6, 96, 0, 
636017412, 2020 Sep 05 11:18:40 UTC, 37.803855, -68.448428, 19.8, 90, 0, 
636017412, 2020 Sep 05 10:03:58 UTC, 37.808958, -68.938273, 18.6, 94, 0, 
636017412, 2020 Sep 05 09:05:46 UTC, 37.813282, -69.309695, 17.3, 96, 0, 
636017412, 2020 Sep 05 08:27:03 UTC, 37.814997, -69.528108, 15.4, 95, 0, 
636017412, 2020 Sep 05 07:45:27 UTC, 37.818877, -69.74828, 15.1, 92, 0, 
636017412, 2020 Sep 05 06:03:34 UTC, 37.820318, -70.277612, 14.6, 93, 0, 
636017412, 2020 Sep 05 05:54:22 UTC, 37.821123, -70.324927, 14.7, 93, 0, 
636017412, 2020 Sep 05 04:40:15 UTC, 37.824797, -70.664042, 14.1, 90, 0, USA
636017412, 2020 Sep 05 04:09:56 UTC, 37.842378, -70.816175, 14.5, 99, 0, USA
636017412, 2020 Sep 05 03:29:09 UTC, 37.866107, -71.023377, 14.3, 100, 0, USA
636017412, 2020 Sep 05 02:19:38 UTC, 37.910288, -71.36822, 14.1, 100, 0, USA
636017412, 2020 Sep 05 02:07:46 UTC, 37.917512, -71.426805, 14.1, 99, 0, USA
636017412, 2020 Sep 05 01:44:21 UTC, 37.935757, -71.542318, 14.6, 100, 0, USA
636017412, 2020 Sep 05 00:05:06 UTC, 37.995408, -72.037967, 14, 97, 0, USA
636017412, 2020 Sep 04 23:38:38 UTC, 38.010032, -72.165812, 14.3, 91, 0, USA
636017412, 2020 Sep 04 23:21:57 UTC, 38.016333, -72.249527, 14.4, 91, 0, USA
636017412, 2020 Sep 04 22:11:21 UTC, 38.062085, -72.611815, 14.6, 99, 0, USA
636017412, 2020 Sep 04 22:02:22 UTC, 38.067315, -72.657613, 14.6, 99, 0, USA
636017412, 2020 Sep 04 21:31:14 UTC, 38.086897, -72.81673, 14.4, 100, 0, USA
636017412, 2020 Sep 04 20:09:33 UTC, 38.136115, -73.226823, 15, 98, 0, USA
636017412, 2020 Sep 04 19:53:54 UTC, 38.146668, -73.307455, 14.7, 100, 0, USA
636017412, 2020 Sep 04 18:20:26 UTC, 38.205332, -73.786072, 14.8, 96, 0, USA
636017412, 2020 Sep 04 18:06:58 UTC, 38.212167, -73.854452, 14.4, 99, 0, USA
636017412, 2020 Sep 04 17:28:22 UTC, 38.237748, -74.048353, 14.9, 99, 0, USA
636017412, 2020 Sep 04 17:27:15 UTC, 38.238478, -74.05403, 14.8, 99, 0, USA
636017412, 2020 Sep 04 16:04:57 UTC, 38.332415, -74.459848, 14.6, 118, 0, USA
636017412, 2020 Sep 04 14:04:14 UTC, 38.643012, -74.902752, 13.8, 145, 0, USA
636017412, 2020 Sep 04 14:03:14 UTC, 38.646137, -74.905612, 13.8, 145, 0, USA
636017412, 2020 Sep 04 12:11:38 UTC, 38.975093, -75.126672, 12.8, 158, 0, USA
636017412, 2020 Sep 04 12:05:45 UTC, 39.001467, -75.140837, 12.6, 158, 0, USA
636017412, 2020 Sep 04 10:56:24 UTC, 39.214915, -75.291383, 14.3, 157, 0, USA
636017412, 2020 Sep 04 10:05:46 UTC, 39.364288, -75.455057, 14.6, 136, 0, USA
636017412, 2020 Sep 04 10:02:50 UTC, 39.372887, -75.465198, 14.4, 136, 0, USA
636017412, 2020 Sep 04 08:06:39 UTC, 39.762752, -75.478978, 13.4, 217, 0, USA
636017412, 2020 Sep 04 08:00:59 UTC, 39.778707, -75.463773, 11.5, 217, 0, USA
636017412, 2020 Sep 04 07:33:57 UTC, 39.812395, -75.392892, 2.2, 239, 0, USA
636017412, 2020 Sep 04 06:05:34 UTC, 39.812952, -75.391067, 0.1, 227, 8080, USA
636017412, 2020 Sep 04 06:02:36 UTC, 39.812992, -75.391042, 0.1, 225, 8080, USA
636017412, 2020 Sep 04 04:56:34 UTC, 39.813263, -75.390917, 0.1, 230, 8080, USA
636017412, 2020 Sep 04 04:05:34 UTC, 39.81337, -75.390975, 0.4, 246, 0, USA
636017412, 2020 Sep 04 02:05:36 UTC, 39.811555, -75.393798, 0.1, 62, 8080, USA
636017412, 2020 Sep 04 02:05:34 UTC, 39.811555, -75.393798, 0.1, 62, 8080, USA
636017412, 2020 Sep 04 00:05:36 UTC, 39.810927, -75.3944, 0.1, 64, 8080, USA
636017412, 2020 Sep 04 00:05:33 UTC, 39.810927, -75.3944, 0.1, 64, 8080, USA
636017412, 2020 Sep 03 22:09:36 UTC, 39.804915, -75.422288, 0, 59, 8080, USA
636017412, 2020 Sep 03 22:00:35 UTC, 39.804872, -75.422322, 0, 59, 8080, USA
636017412, 2020 Sep 03 20:09:36 UTC, 39.804857, -75.422292, 0, 59, 8080, USA
636017412, 2020 Sep 03 20:00:35 UTC, 39.804872, -75.42225, 0, 59, 8080, USA
