MMSI,TimeOfFix,Latitude,Longitude,SOG,Heading,PortIndex,EEZ
636015406, 2020 Sep 03 23:17:45 UTC, 36.820442, -70.382752, 3.4, 325, 0, 
636015406, 2020 Sep 03 23:05:04 UTC, 36.813433, -70.394685, 3.3, 321, 0, 
636015406, 2020 Sep 03 21:18:34 UTC, 36.757173, -70.497153, 3, 323, 0, 
636015406, 2020 Sep 03 20:07:45 UTC, 36.719962, -70.560138, 2.7, 306, 0, 
636015406, 2020 Sep 03 19:01:04 UTC, 36.735507, -70.430975, 10.6, 257, 0, 
636015406, 2020 Sep 03 18:33:55 UTC, 36.75207, -70.33447, 10.5, 257, 0, 
636015406, 2020 Sep 03 17:11:55 UTC, 36.844218, -70.056233, 10.6, 240, 0, 
636015406, 2020 Sep 03 16:16:35 UTC, 36.932692, -69.886982, 10.6, 238, 0, 
636015406, 2020 Sep 03 16:08:25 UTC, 36.949838, -69.865863, 10.6, 230, 0, 
636015406, 2020 Sep 03 15:55:15 UTC, 36.977308, -69.832212, 10.5, 230, 0, 
636015406, 2020 Sep 03 14:30:15 UTC, 37.197562, -69.680808, 10.9, 216, 0, 
636015406, 2020 Sep 03 13:11:55 UTC, 37.423893, -69.555907, 10.7, 216, 0, 
636015406, 2020 Sep 03 12:51:35 UTC, 37.477093, -69.526762, 10.2, 220, 0, 
636015406, 2020 Sep 03 12:11:04 UTC, 37.564888, -69.453967, 7.8, 229, 0, 
636015406, 2020 Sep 03 11:03:45 UTC, 37.544178, -69.499563, 3.1, 312, 0, 
636015406, 2020 Sep 03 10:16:36 UTC, 37.524297, -69.54336, 3.1, 319, 0, 
636015406, 2020 Sep 03 10:10:55 UTC, 37.522112, -69.548605, 3, 310, 0, 
636015406, 2020 Sep 03 09:38:45 UTC, 37.508737, -69.579347, 2.7, 298, 0, 
636015406, 2020 Sep 03 08:39:56 UTC, 37.485825, -69.640435, 3.3, 330, 0, 
636015406, 2020 Sep 03 07:51:54 UTC, 37.469092, -69.687328, 3.3, 286, 0, 
636015406, 2020 Sep 03 06:12:34 UTC, 37.431358, -69.793127, 3.7, 325, 0, 
636015406, 2020 Sep 03 06:05:35 UTC, 37.42891, -69.801368, 3.7, 326, 0, 
636015406, 2020 Sep 03 06:03:25 UTC, 37.428155, -69.803975, 3.9, 329, 0, 
636015406, 2020 Sep 03 05:31:45 UTC, 37.416855, -69.841833, 3.2, 317, 0, 
636015406, 2020 Sep 03 04:59:14 UTC, 37.40478, -69.880082, 3.8, 319, 0, 
636015406, 2020 Sep 03 04:12:44 UTC, 37.384683, -69.937778, 4.1, 334, 0, 
636015406, 2020 Sep 03 04:01:44 UTC, 37.379483, -69.950362, 4, 317, 0, 
636015406, 2020 Sep 03 03:56:05 UTC, 37.376782, -69.95669, 3.2, 310, 0, 
636015406, 2020 Sep 03 03:02:43 UTC, 37.351627, -70.017515, 3.6, 330, 0, 
636015406, 2020 Sep 03 02:09:34 UTC, 37.323848, -70.078655, 4.1, 333, 0, 
636015406, 2020 Sep 03 01:12:55 UTC, 37.295208, -70.136965, 2.7, 308, 0, 
636015406, 2020 Sep 03 00:06:14 UTC, 37.262828, -70.19799, 3.4, 336, 0, 
636015406, 2020 Sep 03 00:03:43 UTC, 37.26138, -70.200593, 3, 343, 0, 
636015406, 2020 Sep 02 23:36:03 UTC, 37.24476, -70.22388, 3.5, 318, 0, 
636015406, 2020 Sep 02 22:34:43 UTC, 37.21004, -70.268768, 2.7, 305, 0, 
636015406, 2020 Sep 02 22:02:05 UTC, 37.19397, -70.291657, 3.6, 323, 0, 
636015406, 2020 Sep 02 20:54:11 UTC, 37.155817, -70.343187, 2.7, 314, 0, 
636015406, 2020 Sep 02 20:11:45 UTC, 37.134753, -70.37276, 2.8, 332, 0, 
636015406, 2020 Sep 02 19:21:36 UTC, 37.112742, -70.407662, 2.4, 324, 0, 
636015406, 2020 Sep 02 17:03:45 UTC, 37.047402, -70.502645, 2.2, 350, 0, 
636015406, 2020 Sep 02 15:54:16 UTC, 37.015555, -70.539857, 1.3, 266, 0, 
636015406, 2020 Sep 02 13:48:44 UTC, 36.99632, -70.59628, 1.6, 203, 0, 
636015406, 2020 Sep 02 12:05:24 UTC, 37.038518, -70.618492, 6.6, 221, 0, 
636015406, 2020 Sep 02 11:15:54 UTC, 37.097012, -70.600442, 1.8, 270, 0, 
636015406, 2020 Sep 02 09:41:22 UTC, 37.045435, -70.677042, 2.7, 2, 0, 
636015406, 2020 Sep 02 08:50:23 UTC, 37.019987, -70.717027, 2.5, 354, 0, 
636015406, 2020 Sep 02 07:01:16 UTC, 36.967713, -70.788382, 2.5, 2, 0, 
