MMSI,TimeOfFix,Latitude,Longitude,SOG,Heading,PortIndex,EEZ
636091202, 2020 Sep 03 23:10:53 UTC, 38.704348, -63.551975, 13.4, 64, 0, 
636091202, 2020 Sep 03 22:00:23 UTC, 38.635835, -63.868945, 13, 64, 0, 
636091202, 2020 Sep 03 21:15:41 UTC, 38.593425, -64.07278, 13.4, 67, 0, 
636091202, 2020 Sep 03 20:42:35 UTC, 38.564792, -64.228973, 13.3, 70, 0, 
636091202, 2020 Sep 03 19:02:04 UTC, 38.476927, -64.674685, 12.3, 75, 0, 
636091202, 2020 Sep 03 18:06:04 UTC, 38.426492, -64.906683, 12.4, 75, 0, 
636091202, 2020 Sep 03 17:12:24 UTC, 38.375398, -65.138465, 13.1, 78, 0, 
636091202, 2020 Sep 03 16:06:33 UTC, 38.311892, -65.438592, 13.8, 82, 0, 
636091202, 2020 Sep 03 15:35:53 UTC, 38.28187, -65.580933, 13.4, 85, 0, 
636091202, 2020 Sep 03 12:00:34 UTC, 38.070507, -66.564918, 13.1, 77, 0, 
636091202, 2020 Sep 03 11:25:55 UTC, 38.034912, -66.716925, 12.9, 75, 0, 
636091202, 2020 Sep 03 10:17:14 UTC, 37.964233, -67.018835, 13.2, 71, 0, 
636091202, 2020 Sep 03 09:07:34 UTC, 37.886682, -67.325215, 13.4, 66, 0, 
636091202, 2020 Sep 03 07:04:36 UTC, 37.73232, -67.911465, 14.7, 65, 0, 
636091202, 2020 Sep 03 06:00:37 UTC, 37.65552, -68.21797, 14.1, 69, 0, 
636091202, 2020 Sep 03 05:00:01 UTC, 37.58529, -68.505145, 14.2, 71, 0, 
636091202, 2020 Sep 03 04:29:05 UTC, 37.549783, -68.65195, 14.1, 72, 0, 
636091202, 2020 Sep 03 03:00:53 UTC, 37.448522, -69.068902, 14.2, 74, 0, 
636091202, 2020 Sep 03 01:19:59 UTC, 37.324958, -69.55339, 14.7, 76, 0, 
636091202, 2020 Sep 03 00:07:17 UTC, 37.233988, -69.906, 14.4, 71, 0, 
636091202, 2020 Sep 03 00:06:54 UTC, 37.233453, -69.907903, 14.4, 71, 0, 
636091202, 2020 Sep 02 23:31:24 UTC, 37.187793, -70.07629, 14.4, 71, 0, 
636091202, 2020 Sep 02 22:15:05 UTC, 37.086913, -70.436343, 14.2, 69, 0, 
636091202, 2020 Sep 02 22:05:12 UTC, 37.074122, -70.482935, 14.1, 70, 0, 
636091202, 2020 Sep 02 21:18:54 UTC, 37.015415, -70.69965, 14.3, 70, 0, 
636091202, 2020 Sep 02 20:43:25 UTC, 36.97078, -70.863778, 13.8, 65, 0, 
636091202, 2020 Sep 02 18:09:24 UTC, 36.81152, -71.550435, 13.6, 89, 0, USA
636091202, 2020 Sep 02 17:19:48 UTC, 36.813328, -71.789087, 14, 91, 0, USA
636091202, 2020 Sep 02 16:24:35 UTC, 36.815792, -72.058652, 14.2, 91, 0, USA
636091202, 2020 Sep 02 16:01:24 UTC, 36.815215, -72.172912, 14.4, 90, 0, USA
636091202, 2020 Sep 02 14:07:24 UTC, 36.817358, -72.734158, 14.2, 99, 0, USA
636091202, 2020 Sep 02 12:56:06 UTC, 36.826027, -73.09014, 14.1, 105, 0, USA
