sep=,
MMSI,TimeOfFix,Latitude,Longitude,SOG,Heading,PortIndex,EEZ
367564890, 2020 Sep 05 22:01:19 UTC, 28.488157, -79.705553, 3.5, 279.5, 0, USA
367564890, 2020 Sep 05 20:01:38 UTC, 28.518422, -79.500397, 7, 254.3, 0, USA
367564890, 2020 Sep 05 19:20:58 UTC, 28.539382, -79.413468, 7.1, 252.9, 0, USA
367564890, 2020 Sep 05 18:45:49 UTC, 28.552183, -79.338503, 6.9, 263.5, 0, USA
367564890, 2020 Sep 05 18:37:18 UTC, 28.554473, -79.320003, 6.7, 261.6, 0, USA
367564890, 2020 Sep 05 16:31:28 UTC, 28.667153, -79.09135, 6.8, 214.3, 0, USA
367564890, 2020 Sep 05 14:04:59 UTC, 28.898782, -78.911525, 7.3, 211.5, 0, USA
367564890, 2020 Sep 05 12:07:28 UTC, 29.084812, -78.755482, 6.7, 222.3, 0, USA
367564890, 2020 Sep 05 11:16:08 UTC, 29.15908, -78.679092, 7.6, 220.2, 0, USA
367564890, 2020 Sep 05 10:00:29 UTC, 29.28552, -78.576953, 7.2, 210.4, 0, USA
367564890, 2020 Sep 05 08:01:19 UTC, 29.486073, -78.433953, 6.7, 214.8, 0, USA
367564890, 2020 Sep 05 07:39:57 UTC, 29.520592, -78.408645, 6.8, 217.7, 0, USA
367564890, 2020 Sep 05 04:31:48 UTC, 29.811498, -78.169348, 6.9, 206.5, 0, USA
367564890, 2020 Sep 05 02:09:50 UTC, 30.040823, -77.992645, 7, 211.9, 0, USA
367564890, 2020 Sep 05 00:02:48 UTC, 30.246363, -77.827453, 7.6, 213.6, 0, USA
367564890, 2020 Sep 04 22:05:18 UTC, 30.442567, -77.652485, 7.5, 221.1, 0, USA
367564890, 2020 Sep 04 20:01:48 UTC, 30.64959, -77.484835, 6.8, 213.3, 0, USA
367564890, 2020 Sep 04 18:09:29 UTC, 30.831177, -77.363138, 6.7, 211.6, 0, USA
367564890, 2020 Sep 04 16:00:19 UTC, 31.00151, -77.204182, 6.2, 217.6, 0, USA
367564890, 2020 Sep 04 14:03:27 UTC, 31.15755, -77.069388, 6.3, 214.9, 0, USA
367564890, 2020 Sep 04 13:15:08 UTC, 31.230255, -77.013212, 6.1, 221.9, 0, USA
367564890, 2020 Sep 04 09:12:57 UTC, 31.554097, -76.715975, 6, 228.7, 0, USA
367564890, 2020 Sep 04 08:10:29 UTC, 31.650477, -76.663443, 6.6, 197.5, 0, USA
367564890, 2020 Sep 04 06:07:09 UTC, 31.81107, -76.516722, 5.9, 225.2, 0, USA
367564890, 2020 Sep 04 05:04:07 UTC, 31.892412, -76.452823, 5.8, 215.1, 0, USA
367564890, 2020 Sep 04 04:03:08 UTC, 31.97607, -76.389507, 6.4, 221, 0, USA
367564890, 2020 Sep 04 02:07:48 UTC, 32.14795, -76.254948, 6.6, 222.6, 0, USA
367564890, 2020 Sep 04 00:41:18 UTC, 32.27506, -76.142792, 7.3, 216.1, 0, USA
367564890, 2020 Sep 04 00:15:57 UTC, 32.317123, -76.11685, 6.7, 207.2, 0, USA
367564890, 2020 Sep 03 22:36:58 UTC, 32.45654, -76.016475, 6.7, 204.2, 0, USA
367564890, 2020 Sep 03 20:01:50 UTC, 32.584202, -75.899312, 1.8, 218.4, 0, USA
367564890, 2020 Sep 03 18:29:59 UTC, 32.597482, -75.862778, 3.5, 23.9, 0, USA
367564890, 2020 Sep 03 16:13:38 UTC, 32.595355, -75.852573, 1.7, 258.7, 0, USA
367564890, 2020 Sep 03 14:22:29 UTC, 32.594092, -75.874378, 2.7, 279.9, 0, USA
367564890, 2020 Sep 03 13:38:39 UTC, 32.599245, -75.842807, 6.6, 247.2, 0, USA
367564890, 2020 Sep 03 10:03:59 UTC, 32.584085, -75.872867, 4.7, 77.5, 0, USA
367564890, 2020 Sep 03 09:23:59 UTC, 32.594552, -75.868213, 1.3, 244.7, 0, USA
367564890, 2020 Sep 03 06:09:30 UTC, 32.616285, -75.850318, 2.5, 227.5, 0, USA
367564890, 2020 Sep 03 04:28:17 UTC, 32.603098, -75.86307, 3.7, 46.3, 0, USA
367564890, 2020 Sep 03 04:22:49 UTC, 32.599158, -75.867692, 3.7, 51.8, 0, USA
367564890, 2020 Sep 03 03:05:37 UTC, 32.574695, -75.887195, 1.8, 227.7, 0, USA
367564890, 2020 Sep 03 02:01:49 UTC, 32.593765, -75.85601, 1.7, 237.8, 0, USA
367564890, 2020 Sep 03 00:06:39 UTC, 32.580605, -75.887612, 1.9, 236.7, 0, USA
367564890, 2020 Sep 02 22:17:57 UTC, 32.585732, -75.870112, 1.9, 195.7, 0, USA
367564890, 2020 Sep 02 22:00:29 UTC, 32.596167, -75.863403, 4.4, 219.5, 0, USA
367564890, 2020 Sep 02 21:40:57 UTC, 32.602125, -75.860857, 0.9, 30.6, 0, USA
367564890, 2020 Sep 02 21:12:07 UTC, 32.588563, -75.877777, 3, 47.2, 0, USA
367564890, 2020 Sep 02 20:49:08 UTC, 32.576642, -75.89443, 3.4, 51.3, 0, USA
367564890, 2020 Sep 02 18:25:19 UTC, 32.588697, -75.855692, 2.9, 229.5, 0, USA
367564890, 2020 Sep 02 16:14:29 UTC, 32.58144, -75.879943, 2.9, 198.5, 0, USA
367564890, 2020 Sep 02 10:56:18 UTC, 32.512527, -75.899347, 3.5, 15.2, 0, USA
367564890, 2020 Sep 02 08:05:19 UTC, 32.588693, -75.841962, 3.1, 212.8, 0, USA
367564890, 2020 Sep 02 05:23:27 UTC, 32.683525, -75.763133, 2.1, 218.4, 0, USA
367564890, 2020 Sep 02 04:39:28 UTC, 32.657163, -75.791418, 3.7, 39.8, 0, USA
367564890, 2020 Sep 02 02:20:48 UTC, 32.59963, -75.861735, 1.8, 198.9, 0, USA
367564890, 2020 Sep 02 01:39:28 UTC, 32.61109, -75.853562, 1.7, 213.5, 0, USA
367564890, 2020 Sep 01 13:54:08 UTC, 32.607703, -75.701357, 2.9, 253.2, 0, USA
367564890, 2020 Sep 01 11:16:09 UTC, 32.543733, -75.831465, 3, 69, 0, USA
367564890, 2020 Sep 01 10:17:19 UTC, 32.526688, -75.833008, 3.8, 249, 0, USA
367564890, 2020 Sep 01 05:01:18 UTC, 32.654895, -75.835808, 0.7, 219.3, 0, USA
367564890, 2020 Sep 01 03:04:48 UTC, 32.69477, -75.833413, 2.1, 163.1, 0, USA
367564890, 2020 Sep 01 00:15:09 UTC, 32.536758, -75.881018, 5.2, 22.1, 0, USA
367564890, 2020 Aug 31 11:04:47 UTC, 32.576355, -75.991198, 2.6, 252.1, 0, USA
367564890, 2020 Aug 31 10:26:18 UTC, 32.581528, -75.956927, 2.8, 261.2, 0, USA
367564890, 2020 Aug 31 04:53:39 UTC, 32.595972, -75.822498, 4.4, 78.8, 0, USA
367564890, 2020 Aug 31 01:13:18 UTC, 32.591853, -75.874105, 3.2, 255.5, 0, USA
367564890, 2020 Aug 30 17:35:48 UTC, 32.563632, -75.97766, 3.9, 263.9, 0, USA
367564890, 2020 Aug 30 08:08:48 UTC, 32.531447, -75.920272, 1.6, 237.2, 0, USA
367564890, 2020 Aug 29 22:39:48 UTC, 32.5945, -75.85625, 2.3, 205.4, 0, USA
367564890, 2020 Aug 29 21:10:06 UTC, 32.622035, -75.829303, 1.8, 223.1, 0, USA
367564890, 2020 Aug 29 20:09:37 UTC, 32.636227, -75.805475, 2.2, 243.5, 0, USA
367564890, 2020 Aug 29 13:13:19 UTC, 32.545058, -75.936222, 8.2, 53.6, 0, USA
367564890, 2020 Aug 29 10:19:08 UTC, 32.295425, -76.309288, 8.6, 51.7, 0, USA
367564890, 2020 Aug 29 05:36:18 UTC, 31.869382, -76.956273, 8.6, 53.3, 0, USA
367564890, 2020 Aug 29 04:02:09 UTC, 31.72919, -77.1637, 8.5, 50.4, 0, USA
367564890, 2020 Aug 29 02:06:29 UTC, 31.561983, -77.420128, 8.9, 58.6, 0, USA
367564890, 2020 Aug 29 00:19:59 UTC, 31.412953, -77.659018, 8.4, 52.4, 0, USA
367564890, 2020 Aug 28 21:35:39 UTC, 31.157788, -78.020447, 8.8, 46.8, 0, USA
367564890, 2020 Aug 28 20:52:36 UTC, 31.091852, -78.113193, 8.6, 51.8, 0, USA
367564890, 2020 Aug 28 18:09:29 UTC, 30.849812, -78.46693, 8.6, 54.6, 0, USA
367564890, 2020 Aug 28 14:00:18 UTC, 30.421182, -78.900105, 8, 31.8, 0, USA
367564890, 2020 Aug 28 12:21:48 UTC, 30.235265, -79.03527, 7.9, 28.7, 0, USA
367564890, 2020 Aug 28 08:01:29 UTC, 29.743772, -79.379575, 8.7, 32.5, 0, USA
367564890, 2020 Aug 28 06:10:19 UTC, 29.50672, -79.530967, 8.9, 39.2, 0, USA
367564890, 2020 Aug 28 04:06:19 UTC, 29.241983, -79.756487, 10.2, 34.9, 0, USA
367564890, 2020 Aug 28 02:09:19 UTC, 28.96366, -79.97655, 9.9, 34.8, 0, USA
367564890, 2020 Aug 28 00:04:28 UTC, 28.67188, -80.173212, 9.4, 29.5, 0, USA
367564890, 2020 Aug 27 22:31:58 UTC, 28.482912, -80.314947, 8.6, 38.6, 0, USA
367564890, 2020 Aug 27 22:07:56 UTC, 28.439385, -80.355532, 8.5, 39.8, 0, USA
367564890, 2020 Aug 27 22:00:49 UTC, 28.42659, -80.368048, 8.3, 40.6, 0, USA
367564890, 2020 Aug 27 20:07:59 UTC, 28.41002, -80.611835, 6.7, 90.2, 0, USA
367564890, 2020 Aug 27 20:00:07 UTC, 28.413567, -80.621335, 0.4, 232.4, 0, USA
367564890, 2020 Aug 27 18:12:59 UTC, 28.413658, -80.621332, 0, 348.3, 0, USA
367564890, 2020 Aug 27 18:05:00 UTC, 28.41366, -80.621303, 0, 348.3, 0, USA
367564890, 2020 Aug 27 16:14:17 UTC, 28.413608, -80.621338, 0, 348.3, 0, USA
367564890, 2020 Aug 27 16:00:18 UTC, 28.413655, -80.621287, 0.1, 348.3, 0, USA
367564890, 2020 Aug 27 14:06:49 UTC, 28.413612, -80.62129, 0, 348.3, 0, USA
367564890, 2020 Aug 27 14:01:59 UTC, 28.413598, -80.621243, 0, 348.3, 0, USA
367564890, 2020 Aug 27 12:12:59 UTC, 28.413405, -80.621457, 0.5, 348.3, 0, USA
