MMSI,TimeOfFix,Latitude,Longitude,SOG,Heading,PortIndex,EEZ
235102677, 2020 Sep 05 22:11:10 UTC, 9.37476, -79.890403, 0.1, 325, 9865, PAN
235102677, 2020 Sep 05 20:11:09 UTC, 9.374767, -79.890693, 0, 325, 9865, PAN
235102677, 2020 Sep 05 18:05:10 UTC, 9.374712, -79.890385, 0, 325, 9865, PAN
235102677, 2020 Sep 05 16:11:09 UTC, 9.374713, -79.8904, 0, 325, 9865, PAN
235102677, 2020 Sep 05 14:08:09 UTC, 9.37472, -79.890405, 0, 325, 9865, PAN
235102677, 2020 Sep 05 14:08:08 UTC, 9.37472, -79.890405, 0, 325, 9865, PAN
235102677, 2020 Sep 05 12:23:10 UTC, 9.374797, -79.8905, 0, 325, 9865, PAN
235102677, 2020 Sep 05 10:11:09 UTC, 9.374648, -79.890537, 0.2, 325, 9865, PAN
235102677, 2020 Sep 05 10:02:33 UTC, 9.374028, -79.890953, 0.7, 339, 0, PAN
235102677, 2020 Sep 05 09:00:12 UTC, 9.463308, -79.891678, 10.2, 203, 0, PAN
235102677, 2020 Sep 05 08:54:02 UTC, 9.477358, -79.885165, 6.3, 201, 0, PAN
235102677, 2020 Sep 05 08:25:23 UTC, 9.554908, -79.866972, 14.9, 192, 0, PAN
235102677, 2020 Sep 05 08:10:19 UTC, 9.615562, -79.845195, 15.3, 201, 0, PAN
235102677, 2020 Sep 05 06:39:40 UTC, 9.959945, -79.66735, 15.6, 208, 0, PAN
235102677, 2020 Sep 05 06:37:15 UTC, 9.969157, -79.662333, 15.7, 208, 0, PAN
235102677, 2020 Sep 05 05:55:50 UTC, 10.127625, -79.575717, 15.4, 208, 0, PAN
235102677, 2020 Sep 05 04:00:34 UTC, 10.569777, -79.327552, 15.7, 209, 0, PAN
235102677, 2020 Sep 05 03:24:51 UTC, 10.705407, -79.249368, 15.7, 210, 0, PAN
235102677, 2020 Sep 05 02:17:38 UTC, 10.959562, -79.106308, 15.5, 210, 0, PAN
235102677, 2020 Sep 05 01:42:27 UTC, 11.093043, -79.032422, 15.5, 210, 0, PAN
235102677, 2020 Sep 04 22:16:52 UTC, 11.878233, -78.580235, 16.8, 207, 0, PAN
235102677, 2020 Sep 04 21:27:03 UTC, 12.083628, -78.464975, 16.8, 207, 0, PAN
235102677, 2020 Sep 04 20:18:33 UTC, 12.365625, -78.303985, 16.8, 206, 0, PAN
235102677, 2020 Sep 04 19:44:03 UTC, 12.508298, -78.223337, 16.8, 205, 0, COL
235102677, 2020 Sep 04 16:06:51 UTC, 13.418602, -77.711988, 17.3, 201, 0, COL
235102677, 2020 Sep 04 15:07:27 UTC, 13.672308, -77.572428, 17.4, 202, 0, COL
235102677, 2020 Sep 04 14:00:03 UTC, 13.959883, -77.415393, 17.4, 202, 0, COL
235102677, 2020 Sep 04 13:53:27 UTC, 13.988345, -77.400555, 17.3, 201, 0, COL
235102677, 2020 Sep 04 12:49:27 UTC, 14.261625, -77.249815, 17.3, 203, 0, JAM
235102677, 2020 Sep 04 10:14:26 UTC, 14.916665, -76.859402, 17.4, 206, 0, JAM
235102677, 2020 Sep 04 09:44:52 UTC, 15.04333, -76.788477, 17.3, 206, 0, JAM
235102677, 2020 Sep 04 08:02:15 UTC, 15.481087, -76.536878, 17.7, 209, 0, JAM
235102677, 2020 Sep 04 07:20:26 UTC, 15.658077, -76.431718, 17.6, 209, 0, JAM
235102677, 2020 Sep 04 04:18:57 UTC, 16.418888, -75.996673, 16.9, 209, 0, JAM
235102677, 2020 Sep 04 03:48:50 UTC, 16.541137, -75.924613, 16.7, 209, 0, JAM
235102677, 2020 Sep 04 02:03:04 UTC, 16.972523, -75.672678, 16.7, 206, 0, JAM
235102677, 2020 Sep 04 01:29:38 UTC, 17.10942, -75.596253, 16.5, 204, 0, JAM
235102677, 2020 Sep 03 22:22:39 UTC, 17.853993, -75.159258, 15.6, 204, 0, HTI
235102677, 2020 Sep 03 21:03:12 UTC, 18.15809, -74.98822, 15.9, 204, 0, HTI
235102677, 2020 Sep 03 20:12:20 UTC, 18.359388, -74.873783, 16.1, 205, 0, HTI
235102677, 2020 Sep 03 15:24:38 UTC, 19.568185, -74.239498, 20.5, 202, 0, CUB
235102677, 2020 Sep 03 14:15:16 UTC, 19.930483, -74.06322, 20.2, 200, 0, CUB
235102677, 2020 Sep 03 13:11:46 UTC, 20.273213, -74.026965, 17.4, 176, 0, CUB
235102677, 2020 Sep 03 12:03:03 UTC, 20.578317, -74.071743, 15.5, 160, 0, CUB
235102677, 2020 Sep 03 11:43:14 UTC, 20.660602, -74.09967, 15.5, 160, 0, CUB
235102677, 2020 Sep 03 10:04:03 UTC, 21.06667, -74.307487, 16.4, 151, 0, BHS
235102677, 2020 Sep 03 09:09:51 UTC, 21.288687, -74.42608, 16.4, 150, 0, BHS
235102677, 2020 Sep 03 08:19:03 UTC, 21.49847, -74.538648, 16.4, 150, 0, BHS
235102677, 2020 Sep 03 07:46:03 UTC, 21.638497, -74.606502, 16.8, 153, 0, BHS
235102677, 2020 Sep 03 06:38:03 UTC, 21.947182, -74.666897, 16.8, 179, 0, BHS
235102677, 2020 Sep 03 03:34:15 UTC, 22.815505, -74.662245, 16.8, 178, 0, BHS
235102677, 2020 Sep 03 02:25:14 UTC, 23.13563, -74.66844, 16.5, 175, 0, BHS
235102677, 2020 Sep 03 01:50:32 UTC, 23.296083, -74.670052, 16.5, 175, 0, BHS
235102677, 2020 Sep 03 00:06:38 UTC, 23.766182, -74.666205, 15.6, 176, 0, BHS
235102677, 2020 Sep 02 22:29:25 UTC, 24.19468, -74.636333, 15.9, 183, 0, BHS
